"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma"
"       (2000 EM26)",0.8172,0.4668,3.84,345.14,24.18,0.436,1.20,0.739,7358,1,93,,,22.50,,,-1.6e-13,1.9e-14,,
"       (2000 PN8)",1.253,0.2171,22.39,142.75,112.30,0.981,1.52,1.4,7680,0,180,,,22.04,,,1.3e-13,7.7e-15,,
"       (2000 TU28)",1.073,0.1829,15.59,202.99,280.94,0.877,1.27,1.11,7915,0,270,,,21.05,,,-8.5e-14,6.6e-15,,
"       (2001 BB16)",0.8553,0.1721,2.03,122.32,196.09,0.708,1.00,0.791,6967,0,57,0,1,23.20,,,3.2e-13,2.6e-14,,
"       (2001 CQ36)",0.9374,0.1773,1.26,30.54,344.89,0.771,1.10,0.908,7751,0,159,0,2,22.74,,,-1.5e-13,8.9e-15,,
"       (2001 OT)",0.9342,0.3228,12.06,295.79,142.99,0.633,1.24,0.903,6616,0,98,,,21.70,,,7.7e-14,1.9e-14,,
"       (2002 AY1)",0.779,0.4374,29.89,287.86,323.84,0.438,1.12,0.688,7279,0,125,5,3,20.94,,,6.5e-14,1.6e-14,,
"       (2002 BF25)",1.075,0.2216,6.31,305.78,77.87,0.837,1.31,1.11,7315,0,147,4,0,22.62,,,1.7e-13,3.4e-15,,
"       (2002 EW8)",1.847,0.4602,11.38,176.52,328.66,0.997,2.70,2.51,5518,0,112,,,23.84,,,1.6e-13,3.7e-14,,
"       (2002 GD10)",1.217,0.1306,19.24,205.85,342.98,1.058,1.38,1.34,7138,0,94,,,22.71,,,-2.5e-13,5.1e-14,,
"       (2002 JR100)",0.9237,0.2988,3.71,202.26,254.25,0.648,1.20,0.888,6287,0,149,,,24.30,,,-2.9e-13,1.3e-14,,
"       (2002 VU114)",1.18,0.2857,2.78,352.79,151.27,0.843,1.52,1.28,6578,0,57,,,22.80,,,-1.1e-13,2.7e-14,,
"       (2002 XQ40)",1.075,0.3512,2.19,270.09,73.27,0.698,1.45,1.11,7020,0,192,,,22.39,,,-9.7e-14,6.1e-15,,
"       (2003 AF23)",0.8744,0.4259,23.23,286.75,43.95,0.502,1.25,0.818,6621,0,493,2,1,21.01,,,-5.4e-14,3.5e-15,,
"       (2003 FF5)",1.37,0.3038,6.34,192.74,54.18,0.953,1.79,1.6,5978,0,158,,,23.30,,,-7.1e-14,2.3e-14,,
"       (2003 FY6)",0.7298,0.5821,6.60,359.16,29.70,0.305,1.15,0.624,5497,1,182,,,22.40,,,-6.7e-14,1.3e-14,,
"       (2003 GQ22)",0.8719,0.1820,17.02,199.50,168.77,0.713,1.03,0.814,6611,1,83,,,21.48,,,9.6e-14,2.0e-14,,
"       (2003 MS2)",1.042,0.1263,20.03,100.83,254.50,0.911,1.17,1.06,6896,0,257,4,3,21.21,,,-6.5e-14,2.0e-14,,
"       (2003 MK4)",1.08,0.1813,22.32,282.59,109.63,0.884,1.28,1.12,6557,0,239,,,20.90,,,-8.0e-14,2.7e-14,,
"       (2003 YS17)",0.9299,0.3128,6.53,98.92,134.63,0.639,1.22,0.897,6228,0,209,,,21.60,,,-8.8e-14,2.4e-14,,
"       (2003 YL118)",1.131,0.4863,7.61,278.71,65.76,0.581,1.68,1.2,6605,0,119,,,21.60,,,-1.7e-13,1.1e-14,,
"       (2004 FH)",0.8186,0.2885,0.02,287.25,40.38,0.582,1.05,0.741,6184,1,269,,,25.70,,,1.7e-13,4.1e-14,,
"       (2004 JN1)",1.085,0.1757,1.50,143.81,1.98,0.895,1.28,1.13,6244,2,106,,,23.70,,,-2.2e-13,6.1e-13,,
"       (2005 EY169)",1.307,0.2327,20.89,346.90,227.77,1.003,1.61,1.49,4366,0,165,,,22.20,,,-1.2e-13,2.9e-14,,
"       (2005 QQ87)",1.001,0.3017,33.97,155.01,54.75,0.699,1.30,1,6204,0,89,,,22.84,,,-6.8e-14,2.5e-14,,
"       (2005 RZ2)",1.106,0.1032,13.16,154.95,280.29,0.992,1.22,1.16,5299,0,67,,,23.30,,,-1.2e-13,1.6e-14,,
"       (2005 TG50)",0.9227,0.1352,2.39,344.03,201.59,0.798,1.05,0.886,5849,0,77,,,24.83,,,-2.1e-13,5.0e-14,,
"       (2005 VL1)",0.8913,0.2246,0.24,37.81,227.85,0.691,1.09,0.841,5874,0,79,,,26.45,,,-2.1e-13,3.7e-14,-3.3e-11,2.9e-12
"       (2006 CT)",1.097,0.2307,2.74,285.46,82.78,0.844,1.35,1.15,11315,0,135,3,1,22.28,,,-9.0e-14,4.9e-15,,
"       (2006 RH120)",1.033,0.0245,0.59,51.20,10.07,1.008,1.06,1.05,281,1,131,0,3,29.50,1.3e-10,5.5e-12,-5.1e-11,4.6e-12,,
"       (2007 AM)",0.7987,0.4670,11.72,107.11,172.52,0.426,1.17,0.714,5501,1,98,,,21.82,,,-7.4e-14,1.7e-14,,
"       (2007 RY19)",1.107,0.2534,12.63,352.43,99.17,0.827,1.39,1.17,5111,0,67,,,22.64,,,-1.3e-13,2.9e-14,,
"       (2007 TF15)",1.109,0.0444,4.26,193.06,28.53,1.059,1.16,1.17,5112,0,76,,,24.69,,,-2.3e-13,2.1e-14,,
