"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","tp_cal","class","two_body","A1","A2","A3","DT","spkid","pdes","name","prefix","neo","pha","sats","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","ma","n","tp","per","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","producer","first_obs","last_obs","rms","A1_sigma","A2_sigma","A3_sigma","DT_sigma"
"     C/2010 L5 (WISE)",8.26,0.9042,147.05,206.47,214.76,0.791,15.73,23.7,31,8,34,,,,2010-04-23.1,HTC,,,,,,1003099,"2010 L5",WISE,C,Y,,0,,18.9,20.6,4.5,5.,0.03,,,,,,,,,,,,,"JPL 7",2455379.5,55379,2010-07-02.0,J2000,2.90,0.04152,2455309.66,8.67e+03,0.113,44,0.217,-0.273,1.3e-03,1.2e-01,7.5e-04,7.5e-03,3.2e-03,9.6e-02,6.6e-02,2.3e-01,9.2e-04,5.2e-02,1.9e+02,"Otto Matic",2010-06-14,2010-07-15,.9058,,,,
"     P/2011 NO1 (Elenin)",5.615,0.7790,15.38,296.11,263.45,1.241,9.99,13.3,51,6,60,,,,2011-01-20.1,JFc,,,,,,1003138,"2011 NO1",Elenin,P,Y,,0,,17.1,,4.5,,,,,,,,,,,,,,,"JPL 10",2455757.5,55757,2011-07-15.0,J2000,13.02,0.07408,2455581.70,4.86e+03,0.381,148,0.904,2.18,1.0e-04,2.4e-03,5.9e-05,8.2e-03,1.3e-03,1.4e-02,9.1e-03,4.3e-03,4.8e-05,4.9e-02,3.2e+00,"Otto Matic",2011-06-12,2011-08-02,.84452,,,,
"     C/2011 S2 (Kowalski)",16.31,0.9316,17.57,288.07,192.19,1.115,31.50,65.8,180,4,343,,,,2011-10-26.3,HTC,,,,,,1003152,"2011 S2",Kowalski,C,Y,,0,,15.6,,4.5,,,,,,,,,,,,,,,"JPL 17",2455857.5,55857,2011-10-23.0,J2000,359.95,0.01497,2455860.85,2.41e+04,0.138,53.6,1.05,1.55,2.3e-05,5.7e-03,6.7e-06,6.3e-05,3.9e-04,4.1e-04,2.0e-05,1.1e-02,7.8e-06,4.2e-04,1.3e+01,"Otto Matic",2011-09-30,2012-03-28,.67406,,,,
"     P/2012 NJ (La Sagra)",8.503,0.8481,84.38,315.76,338.41,1.292,15.71,24.8,272,3,2490,,,,2012-06-13.0,HTC,,,,,,1003198,"2012 NJ","La Sagra",P,Y,,0,,14.8,,4.5,,,,,,,,,,,,,,,"JPL 33",2456158.5,56158,2012-08-19.0,J2000,2.66,0.03975,2456091.59,9.06e+03,0.315,123,2.41,0.745,4.7e-06,2.7e-04,8.6e-07,6.0e-05,2.8e-05,1.1e-04,1.3e-04,5.0e-04,1.9e-06,1.4e-04,4.3e-01,"Otto Matic",2012-07-13,2013-04-11,.30882,,,,
"     P/2015 A3 (PANSTARRS)",7.482,0.8459,172.51,277.08,249.62,1.153,13.81,20.5,155,6,57,,,,2015-02-22.8,HTC,,,,,,1003369,"2015 A3",PANSTARRS,P,Y,,0,,20.7,,4.5,,,,,,,,,,,,,,,"JPL 3",2457067.5,57067,2015-02-14.0,J2000,359.57,0.04816,2457076.37,7.48e+03,0.204,79.4,0.235,-0.573,1.8e-04,9.1e-03,5.1e-05,3.0e-04,4.4e-04,1.2e-03,9.3e-04,1.7e-02,8.8e-05,3.2e-03,1.4e+01,"Otto Matic",2015-01-08,2015-06-12,.29375,,,,
"     C/2015 D1 (SOHO)",4.989,0.9943,69.62,95.88,234.96,0.028,9.95,11.1,3,9,417,,,,2015-02-19.7,JFC,,1.2e-06,,,,1003377,"2015 D1",SOHO,C,Y,,0,,10.0,,4.5,,,,,,,,,,,,,,,"JPL 4",2457073.5,57073,2015-02-20.0,J2000,0.02,0.08845,2457073.25,4.07e+03,0.516,201,3.57,1.12,5.7e-04,5.0e-01,1.2e-05,2.5e-02,1.5e-02,2.3e-02,3.3e-03,9.9e-01,1.3e-02,8.4e-05,6.1e+02,"Otto Matic",2015-02-18,2015-02-21,.53771,9.7e-08,,,
"     C/2015 F5 (SWAN-Xingming)",15.55,0.9777,149.26,287.74,13.39,0.346,30.75,61.3,43,6,209,,,,2015-03-28.0,HTC,,,,,,1003382,"2015 F5",SWAN-Xingming,C,Y,,0,,14.1,19.6,4.5,5.,0.03,,,,,,,,,,,,,"JPL 10",2457134.5,57134,2015-04-22.0,J2000,0.40,0.01607,2457109.60,2.24e+04,0.442,172,0.6,-0.289,5.5e-05,3.9e-02,5.4e-06,1.0e-03,1.3e-03,4.4e-03,1.5e-03,7.7e-02,6.0e-05,8.5e-04,8.4e+01,"Otto Matic",2015-04-05,2015-05-18,.91173,,,,
"     C/2015 X8 (NEOWISE)",19.55,0.9391,155.28,191.11,20.40,1.190,37.91,86.4,683,5,116,,,,2015-10-23.1,HTC,,,-4.5e-07,,,1003429,"2015 X8",NEOWISE,C,Y,,0,,16.2,18.1,4.5,5.,0.03,,,,,,,,,,,,,"JPL 23",2457409.5,57409,2016-01-22.0,J2000,1.04,0.0114,2457318.62,3.16e+04,0.217,84.4,1.29,-0.944,3.6e-05,1.2e-02,1.9e-05,6.4e-05,4.2e-04,2.0e-03,9.7e-04,2.3e-02,1.0e-05,2.3e-03,2.9e+01,"Otto Matic",2015-12-14,2017-10-27,.69001,,5.2e-08,,
"     P/2017 Y3 (Leonard)",9.865,0.8707,27.59,153.87,67.53,1.275,18.45,31,265,4,93,,,,2018-02-11.2,HTC,,,,,,1003554,"2017 Y3",Leonard,P,Y,,0,,16.5,18.6,11.,5.,0.03,,,,,,,,,,,,,"JPL 9",2458169.5,58169,2018-02-20.0,J2000,0.28,0.03181,2458160.76,1.13e+04,0.491,191,0.441,1.73,1.2e-05,9.5e-04,3.0e-06,5.8e-05,1.2e-04,2.3e-04,4.5e-05,1.8e-03,4.6e-06,2.4e-04,1.6e+00,"Otto Matic",2017-12-26,2018-09-17,.64057,,,,
"     P/2019 M2 (ATLAS)",3.026,0.6485,12.28,307.60,332.52,1.063,4.99,5.26,126,4,342,,,,2019-06-22.6,JFc,,,,,,1003635,"2019 M2",ATLAS,P,Y,,0,,20.6,,4.5,,,,,,,,,,,,,,,"JPL 11",2458706.5,58706,2019-08-11.0,J2000,9.24,0.1873,2458657.17,1.92e+03,0.0773,30.1,0.468,2.85,8.5e-06,7.5e-05,6.0e-07,9.7e-05,1.2e-04,7.7e-05,3.4e-04,1.2e-04,6.9e-06,5.4e-05,7.1e-02,"Otto Matic",2019-06-29,2019-11-02,.42675,,,,
"     P/2019 Y3 (Catalina)",2.998,0.6958,24.64,139.38,2.27,0.912,5.08,5.19,41,6,84,,,,2019-12-13.4,JFc,,,,,,1003654,"2019 Y3",Catalina,P,Y,,0,,19.1,,4.5,,,,,,,,,,,,,,,"JPL 4",2458846.5,58846,2019-12-29.0,J2000,2.95,0.1899,2458830.96,1.9e+03,0.074,28.8,0.0395,2.73,7.4e-05,8.0e-04,2.5e-05,7.2e-04,2.9e-03,9.8e-04,1.3e-03,1.4e-03,7.6e-05,5.7e-04,7.6e-01,"Otto Matic",2019-12-17,2020-01-27,.63285,,,,
"     P/2020 G1 (Pimentel)",3.603,0.8596,18.47,240.11,207.64,0.506,6.70,6.84,97,5,490,,,,2020-03-17.4,JFc,,,,,,1003672,"2020 G1",Pimentel,P,Y,,0,,17.4,18.5,4.5,5.,0.03,,,,,,,,,,,,,"JPL 11",2458973.5,58973,2020-05-04.0,J2000,6.86,0.1441,2458925.91,2.5e+03,0.272,106,0.255,2.25,1.7e-05,4.7e-04,6.5e-06,2.0e-04,5.9e-04,1.5e-03,1.4e-03,8.8e-04,2.8e-05,4.0e-04,4.9e-01,"Otto Matic",2020-04-13,2020-07-19,.82649,,,,
"     C/2020 M3 (ATLAS)",26.82,0.9527,23.47,71.25,328.45,1.268,52.37,139,348,3,2344,,,,2020-10-25.6,HTC,,,,,,1003699,"2020 M3",ATLAS,C,Y,,0,,14.6,,6.,,,,,,,,,,,,,,,"JPL 22",2459179.5,59179,2020-11-26.0,J2000,0.22,0.007097,2459148.12,5.07e+04,0.327,127,0.886,1.46,2.3e-06,1.3e-03,5.0e-07,2.7e-05,9.6e-06,1.7e-05,1.7e-05,2.6e-03,5.3e-07,1.8e-05,3.8e+00,"Otto Matic",2020-06-27,2021-06-10,.4736,,,,
"     P/2021 HS (PANSTARRS)",4.196,0.8102,12.17,262.40,46.09,0.796,7.59,8.59,243,4,181,,,,2021-08-06.3,JFc,,,,,,1003811,"2021 HS",PANSTARRS,P,Y,,0,,20.6,,4.5,,,,,,,,,,,,,,,"JPL 39",2459398.5,59398,2021-07-03.0,J2000,356.06,0.1147,2459432.89,3.14e+03,0.0423,16.5,0.352,2.27,5.7e-06,1.2e-04,1.4e-06,8.2e-05,2.2e-04,2.0e-04,1.6e-04,2.1e-04,4.8e-06,3.8e-05,1.3e-01,"Otto Matic",2021-04-10,2021-12-09,.41302,,,,
"     P/2021 N1 (ZTF)",2.977,0.6768,11.51,301.16,21.19,0.962,4.99,5.14,25,7,96,,,,2021-06-06.5,JFc,,,,,,1003792,"2021 N1",ZTF,P,Y,,0,,17.8,,21.75,,,,,,,,,,,,,,,"JPL 3",2459402.5,59402,2021-07-07.0,J2000,5.84,0.1919,2459372.05,1.88e+03,0.0211,8.2,0.525,2.84,4.3e-04,4.7e-03,2.5e-04,1.3e-03,2.1e-02,1.0e-02,1.5e-02,7.9e-03,4.6e-04,3.7e-03,4.5e+00,"Otto Matic",2021-06-17,2021-07-12,.59516,,,,
"     P/2021 PE20 (ATLAS)",3.746,0.6708,20.02,99.63,210.45,1.233,6.26,7.25,95,5,112,,,,2021-06-07.1,JFc,,,,,,1003909,"2021 PE20",ATLAS,P,Y,,0,,15.4,,16.25,,,,,,,,,,,,,,,"JPL 23",2459463.5,59463,2021-09-06.0,J2000,12.35,0.1359,2459372.68,2.65e+03,0.255,99.3,0.123,2.57,3.9e-05,4.2e-04,1.0e-05,2.0e-04,1.1e-03,3.6e-04,2.5e-03,7.0e-04,2.3e-05,3.6e-03,4.4e-01,"Otto Matic",2021-08-09,2021-11-12,.61139,,,,
"     P/2021 Q5 (ATLAS)",3.285,0.6242,10.73,239.78,180.89,1.235,5.34,5.96,55,7,258,,,,2021-08-30.4,JFc,,,,,,1003804,"2021 Q5",ATLAS,P,Y,,0,,15.7,16.5,5.5,5.,0.03,,,,,,,,,,,,,"JPL 8",2459474.5,59474,2021-09-17.0,J2000,2.91,0.1655,2459456.93,2.18e+03,0.247,96.3,0.0404,2.8,2.6e-04,2.5e-03,1.1e-04,4.3e-04,4.6e-03,8.6e-03,4.9e-03,4.1e-03,1.9e-04,9.3e-03,2.5e+00,"Otto Matic",2021-08-29,2021-10-23,.73309,,,,
"     C/2023 E1 (ATLAS)",19.33,0.9469,38.31,164.57,105.89,1.027,37.63,85,299,3,2890,,,,2023-07-01.1,HTC,,4.6e-09,-6.6e-10,2.6e-09,,1003914,"2023 E1",ATLAS,C,Y,,0,,16.1,,7.25,,,,,,,,,,,,,,,"JPL 30",2460126.5,60126,2023-07-01.0,J2000,360.00,0.0116,2460126.61,3.1e+04,0.365,142,1.4,1.24,5.4e-06,2.0e-03,7.2e-07,1.2e-04,1.2e-05,1.8e-05,1.9e-07,3.9e-03,1.8e-06,3.1e-05,4.8e+00,"Otto Matic",2022-12-25,2023-10-20,.48749,5.4e-10,2.3e-10,2.2e-10,
