object_name,obs_filename,download_files
2012 UR158,c4d_180902_081952_ooi_z_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/3e33f1296cd073e3831d2b431821a1ec
2012 UR158,c4d_180902_082157_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/e1ff6a4263feb4c03934aa8266aa664d
2012 UR158,c4d_180902_082157_ooi_z_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/edaf57d42df9fede43bdb9ce354174d3
2012 UR158,c4d_180904_030734_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/118c61606c5c961b01f5773be2b368e2
2012 UR158,c4d_180904_030734_ooi_r_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/b0343ecbe6e75262d551b67abaf900cd
2012 UR158,c4d_180906_031949_ooi_g_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/40b4dbbb9ef87f95af0588d70f25371b
2012 UR158,c4d_180906_031949_ooi_g_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/add5c348be24cb6bd22e92ac1ec32fb4
2012 UR158,c4d_180906_032150_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/99c5c7175767b7df333a84bd5ea6dffa
2012 UR158,c4d_180906_032150_ooi_r_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/337787bf402bdf63cc07ba8e41a15fac
2012 UR158,c4d_180919_014618_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/23de8f8dbbe663aee7a53fc0c14cdfb8
2012 UR158,c4d_180919_014618_ooi_z_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/aabfd07b9377a66c6f00955fd7a244a4
2012 UR158,c4d_181019_000229_ooi_Y_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/8725ffcc4346d21e9a3be62d9527a9ec
2012 UR158,c4d_201126_005634_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/dce86a114bbe0024620febe3cdf7ff1f
2001 ME1,1789779p.fits.fz,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/data/pub/CFHT/1789779p.fits.fz
2001 ME1,c4d_150330_032518_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/54bfde97d9de8f9d24dd401017cefe67
2001 ME1,c4d_150330_032518_ooi_z_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/5eb189aa90679bb8dd7413dc8e90aae3
2001 ME1,c4d_150518_231940_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/6603ed7b33749dd25f626accaaba4273
2001 ME1,c4d_150518_232040_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/f177cfeb24f2779b08d0bfaecd2f415b
2001 ME1,c4d_150518_232137_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/2ca3033edd9f27705aefe3aec61af53e
2001 ME1,c4d_150519_020158_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/9945b9ce00d0a297348768aad592373c
2001 ME1,c4d_150519_020256_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/7207f11a4d109d5ef894416c6dcd9355
2001 ME1,c4d_160403_061932_ooi_u_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/274606a66eed0759471bf9d715b8931f
2001 ME1,c4d_160403_063520_ooi_u_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/976310b8a5a4fac4b6c01a568496354c
2001 ME1,c4d_160408_045710_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/0edf38c57ee2ecfd810dff6b854d0554
2001 ME1,c4d_160408_045710_ooi_r_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/331b63cde3fb89077cfe9de14fe54450
2001 ME1,c4d_160408_045900_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/6d445178fb671b611c8d998b1472185b
2001 ME1,c4d_160408_045900_ooi_r_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/176c5df2808ce6acc9adcb18e485576b
2001 ME1,c4d_160409_043127_ooi_g_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/5fc813769a3dd0307f316515ada8dc11
2001 ME1,c4d_160409_043127_ooi_g_ls11.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/f2a129fe39381723177d1e0e3f4eedc6
2001 ME1,c4d_160409_050023_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/e5c397a9b4058bdb3e702a36f336eff0
2001 ME1,c4d_160409_050023_ooi_r_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/98e0004bc4c3f2a49c502405e2cd6a46
2001 ME1,c4d_160727_230501_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/730d9ec077140b01e651978605c053e1
2001 ME1,c4d_160727_230501_ooi_i_ls10.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/cf87a925912b66d4567c324209c268e7
2001 ME1,c4d_160729_231925_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/f55de279bf6e2e9faac96d8575fe8d5a
2001 ME1,c4d_160729_231925_ooi_i_ls10.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/fd4bac89deaa82f86d91e8ff48a56cb5
2001 ME1,c4d_160811_231446_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/aa3b518c1c8629a05447e0a93fda1f0e
2001 ME1,c4d_160811_231446_ooi_z_ls11.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/8500b7cecb6c42ddd50302a8886fc395
2001 ME1,c4d_170422_083109_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/92cb2a6702a7e6fbd29b1f00d6290861
2001 ME1,c4d_170422_083109_ooi_z_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/9e3f38c83c8f5270de80f0e74179b68f
2001 ME1,c4d_170505_013002_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/281d157e6abe730bb1739d0aedfd2c75
2001 ME1,c4d_170505_013002_ooi_z_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/c010510338208a6e787ad41264ea7c17
2001 ME1,c4d_170520_061744_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/c850cb119961490b86ea0908989bceef
2001 ME1,c4d_170520_061744_ooi_z_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/fd7df9d8f1041e7ab9a82265ba90ef15
2001 ME1,c4d_170521_043939_ooi_g_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/22489de3eb6edad9b9ef63cc566ec64f
2001 ME1,c4d_170521_043939_ooi_g_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/00449e823b3ebc3334dd9c728e4aaf5b
2001 ME1,c4d_170522_040405_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/0da59197091877c9add581be259697c6
2001 ME1,c4d_170522_040405_ooi_r_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/2df70a3b32e69ef2096d7ffc4d227536
2001 ME1,c4d_170718_021916_ooi_g_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/9f46a8211fc9c83374f55c74be66411b
2001 ME1,c4d_170718_021916_ooi_g_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/72fc37b119219fc73a2d246c898e780d
2001 ME1,c4d_170719_014116_ooi_g_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/c7e80cbf8e4b87f49b301dc69b1b34a2
2001 ME1,c4d_170719_014116_ooi_g_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/9f0592d99a0d5e238737d1aa752a50aa
2001 ME1,c4d_170719_014311_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/02759f04bbfddea51cc7dc104297f79c
2001 ME1,c4d_170719_014311_ooi_r_ls9.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/dbcab9991c0c1a1fd0aeb7875392616e
2001 ME1,c4d_180428_091950_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/e8feb9566584733829aabb128c5d53f2
2001 ME1,c4d_180428_091950_ooi_z_ls10.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/7f441cd8a3c71d236227594624818c85
2001 ME1,c4d_180428_092118_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/e32aaead66521a2811bdebd237bb3e47
2001 ME1,c4d_180428_092118_ooi_z_ls10.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/59ae24f86af818be534f8428e80bd7e7
2001 ME1,c4d_180428_092247_ooi_z_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/03f976799317ab65fbabf22aa88ebd91
2001 ME1,c4d_180428_092247_ooi_z_ls10.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/884c50ebb4742ad44b398c38e076df98
2001 ME1,c4d_210327_073938_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/acf61227e92aecd2ce51a2a5ea97cc36
2001 ME1,c4d_210412_081007_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/786ca1ec3e5cc256520e8c42db4e24c7
2001 ME1,c4d_220503_081607_ooi_g_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/b32783442d0bac4d32dd11f4bbf5fb17
2001 ME1,c4d_220503_081607_ooi_g_yse.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/f2b03731148fb2384e8218f464152007
2001 ME1,c4d_220503_082511_ooi_i_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/95de04f33498c4dd98e3e911ad28ff5b
2001 ME1,c4d_220503_082511_ooi_i_yse.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/ddd558c0b947b688f61ee9ab414b1340
2001 ME1,c4d_220506_074739_ooi_g_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/49f8177a86f37ffd8659849b68de3f72
2001 ME1,c4d_220506_074739_ooi_g_yse.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/30c15d5e93213ee84ce06935aaeef8d3
2001 ME1,c4d_220506_075641_ooi_r_v1.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/a1e17f318d94ad555bccef4d6b5ea34a
2001 ME1,c4d_220506_075641_ooi_r_yse.fits.fz,https://astroarchive.noirlab.edu/api/retrieve/88fee05463500ba5bacb14c70efe4416
